Target_Thrust_lbf,Target_OF,Req_Fuel_Valve_deg,Req_LOx_Valve_deg
350,1,46.5759280323931,10.7184786452169
350,1.00606060606061,46.5154303952812,10.7658124608582
350,1.01212121212121,46.4556370850133,10.8124973575119
350,1.01818181818182,46.3965341451288,10.8585399275258
350,1.02424242424242,46.3381080193003,10.9039466930364
350,1.03030303030303,46.2803455364002,10.9487241068022
350,1.03636363636364,46.22323389625,10.9928785530245
350,1.04242424242424,46.1667606560148,11.0364163481575
350,1.04848484848485,46.1109137172094,11.0793437417064
350,1.05454545454545,46.0556813132832,11.1216669170148
350,1.06060606060606,46.001051997753,11.1633919920411
350,1.06666666666667,45.9470146328557,11.2045250201241
350,1.07272727272727,45.8935583786947,11.2450719907383
350,1.07878787878788,45.8406726828529,11.2850388302382
350,1.08484848484848,45.7883472704504,11.3244314025935
350,1.09090909090909,45.7365721346234,11.3632555101132
350,1.0969696969697,45.6853375274034,11.4015168941608
350,1.1030303030303,45.6329305038191,11.4349695643828
350,1.10909090909091,45.5793969963317,11.4636361600547
350,1.11515151515152,45.5264482315988,11.4917800835186
350,1.12121212121212,45.4740735569227,11.5194074214849
350,1.12727272727273,45.4222626007222,11.5465241890482
350,1.13333333333333,45.371005262839,11.5731363305786
350,1.13939393939394,45.3202917052537,11.5992497206007
350,1.14545454545455,45.2701123431919,11.6248701646614
350,1.15151515151515,45.2204578366003,11.6500034001856
350,1.15757575757576,45.1713190819752,11.674655097321
350,1.16363636363636,45.122687204526,11.6988308597712
350,1.16969696969697,45.0745535506573,11.7225362256177
350,1.17575757575758,45.0269096807548,11.745776668132
350,1.18181818181818,44.9797473622595,11.7685575965754
350,1.18787878787879,44.9330585630182,11.7908843569898
350,1.19393939393939,44.8868354448956,11.8127622329765
350,1.2,44.8410703576369,11.8341964464664
350,1.20606060606061,44.7818232982471,11.8127714651961
350,1.21212121212121,44.7233201183338,11.7911220687879
350,1.21818181818182,44.6655455290739,11.769253695248
350,1.22424242424242,44.6084846966781,11.747171680226
350,1.23030303030303,44.5521232246552,11.7248812589665
350,1.23636363636364,44.4964471369253,11.7023875682216
350,1.24242424242424,44.4414428617336,11.6796956481264
350,1.24848484848485,44.3870972163198,11.6568104440368
350,1.25454545454545,44.3308006668269,11.6245291991535
350,1.26060606060606,44.2743367502649,11.5890547932537
350,1.26666666666667,44.218566243626,11.5534693253587
350,1.27272727272727,44.1634753184416,11.5177770412438
350,1.27878787878788,44.1090505455191,11.4819820963068
350,1.28484848484848,44.0552788798161,11.4460885574479
350,1.29090909090909,44.0021476460179,11.4101004049101
350,1.2969696969697,43.9496445247815,11.3740215340788
350,1.3030303030303,43.8972734029504,11.3358942895722
350,1.30909090909091,43.8450377134148,11.2957412530122
350,1.31515151515152,43.7934148359167,11.2555337258037
350,1.32121212121212,43.7423932202348,11.2152751589039
350,1.32727272727273,43.6919616310291,11.174968925818
350,1.33333333333333,43.6421091365548,11.1346183242493
350,1.33939393939394,43.5928250978742,11.0942265777131
350,1.34545454545455,43.5440991585407,11.053796837115
350,1.35151515151515,43.4968755943652,11.0169037063303
350,1.35757575757576,43.4530027742665,10.9906194139766
350,1.36363636363636,43.4095792841263,10.9641886610339
350,1.36969696969697,43.3665978132851,10.9376151607338
350,1.37575757575758,43.3240512227644,10.9109025601188
350,1.38181818181818,43.2819325399531,10.8840544412175
350,1.38787878787879,43.2402349534971,10.8570743221979
350,1.39393939393939,43.1989518083833,10.8299656585
350,1.4,43.1580766012078,10.8027318439471
350,1.40606060606061,43.1207879000628,10.7879964597174
350,1.41212121212121,43.0838357666282,10.7730594034771
350,1.41818181818182,43.0472154190044,10.7579242238579
350,1.42424242424242,43.0109221731061,10.7425944169202
350,1.43030303030303,42.9749514400211,10.7270734269458
350,1.43636363636364,42.9392987234582,10.7113646472166
350,1.44242424242424,42.9039596172789,10.6954714207823
350,1.44848484848485,42.868929803111,10.6793970412155
350,1.45454545454545,42.8358154360036,10.6697751134851
350,1.46060606060606,42.8035081230782,10.6621484459337
350,1.46666666666667,42.771463241644,10.6543043746311
350,1.47272727272727,42.7396774633337,10.646246053055
350,1.47878787878788,42.7081475203644,10.6379765936123
350,1.48484848484848,42.6768702040812,10.6294990681888
350,1.49090909090909,42.6458423635438,10.6208165086914
350,1.4969696969697,42.6150609041554,10.6119319075835
350,1.5030303030303,42.5852392440831,10.6058992417161
350,1.50909090909091,42.5563586344913,10.602702284398
350,1.51515151515152,42.5276947339466,10.5992864774075
350,1.52121212121212,42.4992450179832,10.5956546258697
350,1.52727272727273,42.47100700422,10.591809501523
350,1.53333333333333,42.4429782514335,10.5877538431314
350,1.53939393939394,42.4151563586573,10.5834903568921
350,1.54545454545455,42.3875389643045,10.5790217168369
350,1.55151515151515,42.3604197639158,10.5756592044367
350,1.55757575757576,42.3343786106601,10.5760114877091
350,1.56363636363636,42.3085194490078,10.576148446621
350,1.56969696969697,42.282840313006,10.5760725667856
350,1.57575757575758,42.2573392670065,10.5757863064585
350,1.58181818181818,42.232014405049,10.5752920968536
350,1.58787878787879,42.2068638502604,10.5745923424561
350,1.59393939393939,42.1818857542683,10.5736894213301
350,1.6,42.15707829663,10.5725856854241
354.040404040404,1,46.7542364669452,11.1265434758924
354.040404040404,1.00606060606061,46.692112064657,11.1748561352373
354.040404040404,1.01212121212121,46.6307230007554,11.2225082803388
354.040404040404,1.01818181818182,46.5700544275588,11.2695065943999
354.040404040404,1.02424242424242,46.5100919310198,11.3158576898888
354.040404040404,1.03030303030303,46.4508215142479,11.3615681093717
354.040404040404,1.03636363636364,46.3922295817992,11.406644326335
354.040404040404,1.04242424242424,46.3343029246895,11.4510927459953
354.040404040404,1.04848484848485,46.2770287060934,11.4949197060986
354.040404040404,1.05454545454545,46.2203944476907,11.538131477708
354.040404040404,1.06060606060606,46.1643880166269,11.580734265981
354.040404040404,1.06666666666667,46.1089976130538,11.6227342109357
354.040404040404,1.07272727272727,46.0542117582214,11.6641373882065
354.040404040404,1.07878787878788,46.0000192830908,11.70494980979
354.040404040404,1.08484848484848,45.9464093174424,11.7451774247797
354.040404040404,1.09090909090909,45.8933712794535,11.7848261200923
354.040404040404,1.0969696969697,45.840894865721,11.8239017211823
354.040404040404,1.1030303030303,45.7872709185318,11.8581991351932
354.040404040404,1.10909090909091,45.732545578657,11.8877411508119
354.040404040404,1.11515151515152,45.6784254415868,11.9167504620387
354.040404040404,1.12121212121212,45.624899314641,11.9452332387377
354.040404040404,1.12727272727273,45.571956304975,11.9731955786683
354.040404040404,1.13333333333333,45.5195858090901,12.0006435083748
354.040404040404,1.13939393939394,45.4677775027931,12.0275829840642
354.040404040404,1.14545454545455,45.4165213315837,12.0540198924728
354.040404040404,1.15151515151515,45.3658075014477,12.0799600517205
354.040404040404,1.15757575757576,45.3156264700357,12.1054092121552
354.040404040404,1.16363636363636,45.2659689382088,12.1303730571846
354.040404040404,1.16969696969697,45.2168258419326,12.1548572040978
354.040404040404,1.17575757575758,45.168188344503,12.1788672048761
354.040404040404,1.18181818181818,45.1200478290874,12.2024085469933
354.040404040404,1.18787878787879,45.0723958915669,12.2254866542047
354.040404040404,1.19393939393939,45.0252243336641,12.2481068873271
354.040404040404,1.2,44.9785251563442,12.2702745450074
354.040404040404,1.20606060606061,44.9180094879096,12.2486305632195
354.040404040404,1.21212121212121,44.8582622812871,12.2267568596957
354.040404040404,1.21818181818182,44.7992675156342,12.2046589888632
354.040404040404,1.22424242424242,44.7410096538856,12.1823424007634
354.040404040404,1.23030303030303,44.683473623633,12.1598124430367
354.040404040404,1.23636363636364,44.6266447989316,12.1370743628684
354.040404040404,1.24242424242424,44.5705089829817,12.1141333088961
354.040404040404,1.24848484848485,44.5150523916344,12.0909943330795
354.040404040404,1.25454545454545,44.4576016779327,12.0582332104934
354.040404040404,1.26060606060606,44.3999842221418,12.0222017152875
354.040404040404,1.26666666666667,44.3430815678357,11.986056058592
354.040404040404,1.27272727272727,44.2868792701025,11.9498005848377
354.040404040404,1.27878787878788,44.2313633068304,11.9134395460456
354.040404040404,1.28484848484848,44.1765200624786,11.8769771037465
354.040404040404,1.29090909090909,44.1223363126141,11.8404173308596
354.040404040404,1.2969696969697,44.0687992091703,11.8037642135309
354.040404040404,1.3030303030303,44.0153864340439,11.7649594846737
354.040404040404,1.30909090909091,43.9621019206592,11.7240269096128
354.040404040404,1.31515151515152,43.9094485650675,11.6830389341433
354.040404040404,1.32121212121212,43.8574143185022,11.6419990842539
354.040404040404,1.32727272727273,43.8059874650855,11.6009108066912
354.040404040404,1.33333333333333,43.7551566097427,11.5597774706491
354.040404040404,1.33939393939394,43.7049106666557,11.5186023694199
354.040404040404,1.34545454545455,43.6552388482276,11.4773887220102
354.040404040404,1.35151515151515,43.6070987856281,11.439765045903
