time,data_queue_size,fuel_valve_setpoint,fuel_valve_internal_pos,fuel_valve_encoder_pos,fuel_valve_velocity,fuel_valve_acceleration,fuel_valve_nsec_per_pulse,lox_valve_setpoint,lox_valve_internal_pos,lox_valve_encoder_pos,lox_valve_velocity,lox_valve_acceleration,lox_valve_nsec_per_pulse,pt102,pt103,pto401,pt202,pt203,ptf401,ptc401,ptc402
0.00103807,0,81.00000000,81.00000000,80.72999573,0.00348687,3.48687124,658745,73.98039246,73.97999573,73.67399597,0.39564070,395.64068604,1202082,669.66015625,614.53125000,295.32617187,816.00390625,534.50000000,770.85076904,8.48437500,12.87890625
0.00202083,0,81.00000000,81.00000000,80.72999573,0.00348687,0.00000000,658745,73.98059845,73.97999573,73.67399597,0.60163438,205.99366760,1202082,667.70703125,617.46093750,296.30273437,819.42187500,530.10546875,772.55975342,7.75195312,12.14648437
0.00302797,0,81.00000000,81.00000000,80.72999573,0.00348687,0.00000000,658745,73.98079681,73.97999573,73.67399597,0.79999858,198.36418152,1202082,660.87109375,620.87890625,296.54687500,819.42187500,531.57031250,775.97772217,10.92578125,13.12304687
0.00401627,0,81.00000000,81.00000000,80.72999573,0.00348687,0.00000000,658745,73.98099518,73.97999573,73.67399597,0.99836284,198.36424255,1202082,660.87109375,619.90234375,296.30273437,821.86328125,532.54687500,773.78045654,7.99609375,10.19335937
0.00500761,0,81.00000000,81.00000000,80.72999573,0.00348687,0.00000000,658745,73.98119354,73.97999573,73.67399597,1.19672716,198.36430359,1202082,662.82421875,620.39062500,297.27929687,818.93359375,530.59375000,771.82733154,9.70507812,8.48437500
0.00603503,0,81.00000000,81.00000000,80.72999573,0.00348687,0.00000000,658745,73.98139954,73.97999573,73.67399597,1.40272069,205.99353027,1202082,664.77734375,611.11328125,297.03515625,816.98046875,531.08203125,775.48944092,13.12304687,11.65820312
0.00724743,0,81.00000000,81.00000000,80.72999573,0.00348687,0.00000000,658745,73.98159790,73.97999573,73.67399597,1.60108495,198.36424255,1202082,658.91796875,615.99609375,295.81445312,817.46875000,531.08203125,780.61639404,10.19335937,9.94921875
0.00809561,0,81.00000000,81.00000000,80.72999573,0.00348687,0.00000000,658745,73.98179626,73.97999573,73.67399597,1.79944921,198.36424255,1202082,664.28906250,614.04296875,296.54687500,816.98046875,533.52343750,773.29217529,11.16992187,9.46093750
0.00900941,0,81.00000000,81.00000000,80.72999573,0.00348687,0.00000000,658745,73.98199463,73.97999573,73.67399597,1.99781346,198.36424255,1202082,659.89453125,612.08984375,295.81445312,815.51562500,533.52343750,769.63006592,8.48437500,8.72851562
0.01000163,0,81.00000000,81.00000000,80.72999573,0.00348687,0.00000000,658745,73.98219299,73.97999573,73.67399597,2.19617772,198.36424255,1202082,666.73046875,610.13671875,296.54687500,819.42187500,530.59375000,771.82733154,11.41406250,10.19335937
0.01100010,0,81.00000000,81.00000000,80.72999573,0.00348687,0.00000000,658745,73.98239899,73.97999573,73.67399597,2.40217137,205.99363708,1202082,662.33593750,619.90234375,295.08203125,821.86328125,529.12890625,775.48944092,11.90234375,10.68164062
0.01201623,0,81.00000000,81.00000000,80.72999573,0.00348687,0.00000000,658745,73.98259735,73.97999573,73.67399597,2.60053563,198.36424255,1202082,666.24218750,619.41406250,295.81445312,817.46875000,534.01171875,771.58319092,10.43750000,14.09960937
0.01322092,0,81.00000000,81.00000000,80.72999573,0.00348687,0.00000000,658745,73.98279572,73.97999573,73.67399597,2.79889989,198.36424255,1202082,660.87109375,615.50781250,295.81445312,816.00390625,530.59375000,769.14178467,14.58789062,14.83203125
0.01405696,0,81.00000000,81.00000000,80.72999573,0.00348687,0.00000000,658745,73.98299408,73.97999573,73.67399597,2.99726415,198.36424255,1202082,659.40625000,615.99609375,295.81445312,819.42187500,533.03515625,772.55975342,8.24023437,8.72851562
0.01502921,0,81.00000000,81.00000000,80.72999573,0.00348687,0.00000000,658745,73.98320007,73.97999573,73.67399597,3.20325780,205.99363708,1202082,663.31250000,613.55468750,297.52343750,815.51562500,529.61718750,777.19842529,15.07617187,14.34375000
0.01599920,0,81.00000000,81.00000000,80.72999573,0.00348687,0.00000000,658745,73.98339844,73.97999573,73.67399597,3.40162206,198.36424255,1202082,658.91796875,615.99609375,296.05859375,816.00390625,531.08203125,773.78045654,9.21679687,9.21679687
0.01699904,0,81.00000000,81.00000000,80.72999573,0.00348687,0.00000000,658745,73.98359680,73.97999573,73.67399597,3.59998631,198.36424255,1202082,668.19531250,615.50781250,296.30273437,815.51562500,530.10546875,770.60662842,8.97265625,8.97265625
0.01800680,0,81.00000000,81.00000000,80.72999573,0.00348687,0.00000000,658745,73.98379517,73.97999573,73.67399597,3.79835057,198.36424255,1202082,669.17187500,612.57812500,296.54687500,813.56250000,530.10546875,772.31561279,7.75195312,13.12304687
0.01936262,0,81.00000000,81.00000000,80.72999573,0.00348687,0.00000000,658745,73.98399353,73.97999573,73.67399597,3.99671483,198.36424255,1202082,670.63671875,614.04296875,296.30273437,816.98046875,532.05859375,774.51287842,14.09960937,12.14648437
0.02022358,0,81.00000000,81.00000000,80.72999573,0.00348687,0.00000000,658745,73.98419952,73.97999573,73.67399597,4.20270824,205.99340820,1202082,667.70703125,616.97265625,297.03515625,818.44531250,530.59375000,776.71014404,13.36718750,13.61132812
0.02104257,0,81.00000000,81.00000000,80.72999573,0.00348687,0.00000000,658745,73.98439789,73.97999573,73.67399597,4.40107250,198.36424255,1202082,665.75390625,618.92578125,294.10546875,821.37500000,530.59375000,776.22186279,9.94921875,8.24023437
0.02201592,0,81.00000000,81.00000000,80.72999573,0.00348687,0.00000000,658745,73.98459625,73.97999573,73.67399597,4.59943676,198.36424255,1202082,660.87109375,616.97265625,294.83789062,818.93359375,532.05859375,776.22186279,12.63476562,13.12304687
0.02301274,0,81.00000000,81.00000000,80.72999573,0.00348687,0.00000000,658745,73.98479462,73.97999573,73.67399597,4.79780102,198.36424255,1202082,660.87109375,616.97265625,295.57031250,820.39843750,531.57031250,777.44256592,12.39062500,14.09960937
0.02401294,0,81.00000000,81.00000000,80.72999573,0.00348687,0.00000000,658745,73.98500061,73.97999573,73.67399597,5.00379467,205.99363708,1202082,665.26562500,615.01953125,297.52343750,817.46875000,530.10546875,778.17498779,14.34375000,13.85546875
0.02511698,0,81.00000000,81.00000000,80.72999573,0.00348687,0.00000000,658745,73.98519897,73.97999573,73.67399597,5.20215893,198.36424255,1202082,664.77734375,613.55468750,295.81445312,816.49218750,530.59375000,772.07147217,14.58789062,13.61132812
0.02605224,0,81.00000000,81.00000000,80.72999573,0.00348687,0.00000000,658745,73.98539734,73.97999573,73.67399597,5.40052319,198.36424255,1202082,665.26562500,615.50781250,296.54687500,816.98046875,530.59375000,767.92108154,8.24023437,8.24023437
0.02702741,0,81.00000000,81.00000000,80.72999573,0.00348687,0.00000000,658745,73.98559570,73.97999573,73.67399597,5.59888744,198.36424255,1202082,665.26562500,618.43750000,296.05859375,817.46875000,530.59375000,770.60662842,14.83203125,12.39062500
0.02801477,0,81.00000000,81.00000000,80.72999573,0.00348687,0.00000000,658745,73.98579407,73.97999573,73.67399597,5.79725170,198.36424255,1202082,666.24218750,617.46093750,297.03515625,815.51562500,528.15234375,772.80389404,13.85546875,14.09960937
0.02902402,0,81.00000000,81.00000000,80.72999573,0.00348687,0.00000000,658745,73.98600006,73.97999573,73.67399597,6.00324535,205.99363708,1202082,657.45312500,612.57812500,297.03515625,814.05078125,530.10546875,769.38592529,15.07617187,14.09960937
0.03002559,0,81.00000000,81.00000000,80.72999573,0.00348687,0.00000000,658745,73.98619843,73.97999573,73.67399597,6.20160961,198.36424255,1202082,666.73046875,609.16015625,296.54687500,817.46875000,528.64062500,767.18865967,14.34375000,11.90234375
0.03129473,0,81.00000000,81.00000000,80.72999573,0.00348687,0.00000000,658745,73.98639679,73.97999573,73.67399597,6.39997387,198.36424255,1202082,658.91796875,615.99609375,296.05859375,816.49218750,528.64062500,769.38592529,10.92578125,14.34375000
0.03211725,0,81.00000000,81.00000000,80.72999573,0.00348687,0.00000000,658745,73.98659515,73.97999573,73.67399597,6.59833813,198.36424255,1202082,665.26562500,612.08984375,297.27929687,815.51562500,529.12890625,768.40936279,14.09960937,12.63476562
