time,data_queue_size,fuel_valve_setpoint,fuel_valve_internal_pos,fuel_valve_encoder_pos,fuel_valve_velocity,fuel_valve_acceleration,fuel_valve_nsec_per_pulse,lox_valve_setpoint,lox_valve_internal_pos,lox_valve_encoder_pos,lox_valve_velocity,lox_valve_acceleration,lox_valve_nsec_per_pulse,pt102,pt103,pto401,pt202,pt203,ptf401,ptc401,ptc402
0.02197154,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.98459625,73.97999573,73.04399872,4.59943676,198.36424255,7002955,665.26562500,615.01953125,295.08203125,795.49609375,508.13281250,748.87811279,10.92578125,10.43750000
0.02297872,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.98479462,73.97999573,73.04399872,4.79780102,198.36424255,7002955,658.42968750,611.60156250,294.83789062,796.96093750,504.71484375,749.12225342,10.68164062,11.16992187
0.02399338,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.98500061,73.97999573,73.04399872,5.00379467,205.99363708,7002955,662.33593750,620.87890625,293.37304687,793.54296875,504.22656250,752.54022217,12.14648437,11.90234375
0.02513849,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.98519897,73.97999573,73.04399872,5.20215893,198.36424255,7002955,669.66015625,612.57812500,295.32617187,792.07812500,507.64453125,745.70428467,13.12304687,12.63476562
0.02598631,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.98539734,73.97999573,73.04399872,5.40052319,198.36424255,7002955,669.17187500,609.64843750,295.32617187,789.14843750,507.64453125,749.12225342,12.39062500,12.14648437
0.02697842,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.98559570,73.97999573,73.04399872,5.59888744,198.36424255,7002955,661.84765625,614.53125000,293.61718750,795.98437500,504.22656250,750.83123779,11.65820312,11.65820312
0.02796423,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.98579407,73.97999573,73.04399872,5.79725170,198.36424255,7002955,663.31250000,611.60156250,296.05859375,796.96093750,505.20312500,747.65740967,11.65820312,9.94921875
0.02895486,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.98600006,73.97999573,73.04399872,6.00324535,205.99363708,7002955,653.05859375,613.06640625,295.08203125,796.96093750,506.66796875,754.73748779,12.87890625,11.41406250
0.02997497,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.98619843,73.97999573,73.04399872,6.20160961,198.36424255,7002955,663.31250000,612.08984375,295.57031250,792.07812500,508.13281250,753.51678467,11.16992187,10.92578125
0.03106316,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.98639679,73.97999573,73.04399872,6.39997387,198.36424255,7002955,661.84765625,615.01953125,296.54687500,792.07812500,508.62109375,746.92498779,9.70507812,10.19335937
