time,sensor,value,event,system,source
1772905880869475,gnc_adc_read_time_ns,0.0,,atlas,gnc
1772905880869475,gnc_fuel_target,0.0,,atlas,gnc
1772905880869475,gnc_fuel_driver,0.0,,atlas,gnc
1772905880869475,gnc_fuel_encoder,-0.035999998450279236,,atlas,gnc
1772905880869475,gnc_fuel_is_on,1.0,,atlas,gnc
1772905880869475,gnc_lox_target,0.0,,atlas,gnc
1772905880869475,gnc_lox_driver,0.0,,atlas,gnc
1772905880869475,gnc_lox_encoder,0.0,,atlas,gnc
1772905880869475,gnc_lox_is_on,1.0,,atlas,gnc
1772905880869484,gnc_state,1.0,STATE_IDLE,atlas,gnc
1772905880869484,gnc_data_queue_size,0.0,,atlas,gnc
1772905880869484,gnc_sequence_number,129190.0,,atlas,gnc
1772905880869484,gnc_controller_tick_ns,0.0,,atlas,gnc
1772905880869484,gnc_pt102,0.0,,atlas,gnc
1772905880869484,gnc_pt103,0.0,,atlas,gnc
1772905880869484,gnc_pt202,0.0,,atlas,gnc
1772905880869484,gnc_pt203,0.0,,atlas,gnc
1772905880869484,gnc_ptf401,0.0,,atlas,gnc
1772905880869484,gnc_pto401,0.0,,atlas,gnc
1772905880869484,gnc_ptc401,0.0,,atlas,gnc
1772905880869484,gnc_ptc402,0.0,,atlas,gnc
1772905880869484,gnc_tc102,0.0,,atlas,gnc
1772905880869484,gnc_tc102_5,0.0,,atlas,gnc
1772905880869484,gnc_adc_read_time_ns,0.0,,atlas,gnc
1772905880869484,gnc_fuel_target,0.0,,atlas,gnc
1772905880869484,gnc_fuel_driver,0.0,,atlas,gnc
1772905880869484,gnc_fuel_encoder,-0.035999998450279236,,atlas,gnc
1772905880869484,gnc_fuel_is_on,1.0,,atlas,gnc
1772905880869484,gnc_lox_target,0.0,,atlas,gnc
1772905880869484,gnc_lox_driver,0.0,,atlas,gnc
1772905880869484,gnc_lox_encoder,0.0,,atlas,gnc
1772905880869484,gnc_lox_is_on,1.0,,atlas,gnc
1772905880869492,gnc_state,1.0,STATE_IDLE,atlas,gnc
1772905880869492,gnc_data_queue_size,0.0,,atlas,gnc
1772905880869492,gnc_sequence_number,129191.0,,atlas,gnc
1772905880869492,gnc_controller_tick_ns,0.0,,atlas,gnc
1772905880869492,gnc_pt102,0.0,,atlas,gnc
1772905880869492,gnc_pt103,0.0,,atlas,gnc
1772905880869492,gnc_pt202,0.0,,atlas,gnc
1772905880869492,gnc_pt203,0.0,,atlas,gnc
1772905880869492,gnc_ptf401,0.0,,atlas,gnc
1772905880869492,gnc_pto401,0.0,,atlas,gnc
1772905880869492,gnc_ptc401,0.0,,atlas,gnc
1772905880869492,gnc_ptc402,0.0,,atlas,gnc
1772905880869492,gnc_tc102,0.0,,atlas,gnc
1772905880869492,gnc_tc102_5,0.0,,atlas,gnc
1772905880869492,gnc_adc_read_time_ns,0.0,,atlas,gnc
1772905880869492,gnc_fuel_target,0.0,,atlas,gnc
1772905880869492,gnc_fuel_driver,0.0,,atlas,gnc
1772905880869492,gnc_fuel_encoder,-0.035999998450279236,,atlas,gnc
1772905880869492,gnc_fuel_is_on,1.0,,atlas,gnc
1772905880869492,gnc_lox_target,0.0,,atlas,gnc
1772905880869492,gnc_lox_driver,0.0,,atlas,gnc
1772905880869492,gnc_lox_encoder,0.0,,atlas,gnc
1772905880869492,gnc_lox_is_on,1.0,,atlas,gnc
1772905880869500,gnc_state,1.0,STATE_IDLE,atlas,gnc
1772905880869500,gnc_data_queue_size,0.0,,atlas,gnc
1772905880869500,gnc_sequence_number,129192.0,,atlas,gnc
1772905880869500,gnc_controller_tick_ns,0.0,,atlas,gnc
1772905880869500,gnc_pt102,0.0,,atlas,gnc
1772905880869500,gnc_pt103,0.0,,atlas,gnc
1772905880869500,gnc_pt202,0.0,,atlas,gnc
1772905880869500,gnc_pt203,0.0,,atlas,gnc
1772905880869500,gnc_ptf401,0.0,,atlas,gnc
1772905880869500,gnc_pto401,0.0,,atlas,gnc
1772905880869500,gnc_ptc401,0.0,,atlas,gnc
1772905880869500,gnc_ptc402,0.0,,atlas,gnc
1772905880869500,gnc_tc102,0.0,,atlas,gnc
1772905880869500,gnc_tc102_5,0.0,,atlas,gnc
1772905880869500,gnc_adc_read_time_ns,0.0,,atlas,gnc
1772905880869500,gnc_fuel_target,0.0,,atlas,gnc
1772905880869500,gnc_fuel_driver,0.0,,atlas,gnc
1772905880869500,gnc_fuel_encoder,-0.035999998450279236,,atlas,gnc
1772905880869500,gnc_fuel_is_on,1.0,,atlas,gnc
1772905880869500,gnc_lox_target,0.0,,atlas,gnc
1772905880869500,gnc_lox_driver,0.0,,atlas,gnc
1772905880869500,gnc_lox_encoder,0.0,,atlas,gnc
1772905880869500,gnc_lox_is_on,1.0,,atlas,gnc
1772905880869510,gnc_state,1.0,STATE_IDLE,atlas,gnc
1772905880869510,gnc_data_queue_size,0.0,,atlas,gnc
1772905880869510,gnc_sequence_number,129193.0,,atlas,gnc
1772905880869510,gnc_controller_tick_ns,0.0,,atlas,gnc
1772905880869510,gnc_pt102,0.0,,atlas,gnc
1772905880869510,gnc_pt103,0.0,,atlas,gnc
1772905880869510,gnc_pt202,0.0,,atlas,gnc
1772905880869510,gnc_pt203,0.0,,atlas,gnc
1772905880869510,gnc_ptf401,0.0,,atlas,gnc
1772905880869510,gnc_pto401,0.0,,atlas,gnc
1772905880869510,gnc_ptc401,0.0,,atlas,gnc
1772905880869510,gnc_ptc402,0.0,,atlas,gnc
1772905880869510,gnc_tc102,0.0,,atlas,gnc
1772905880869510,gnc_tc102_5,0.0,,atlas,gnc
1772905880869510,gnc_adc_read_time_ns,0.0,,atlas,gnc
1772905880869510,gnc_fuel_target,0.0,,atlas,gnc
1772905880869510,gnc_fuel_driver,0.0,,atlas,gnc
1772905880869510,gnc_fuel_encoder,-0.035999998450279236,,atlas,gnc
1772905880869510,gnc_fuel_is_on,1.0,,atlas,gnc
1772905880869510,gnc_lox_target,0.0,,atlas,gnc
1772905880869510,gnc_lox_driver,0.0,,atlas,gnc
1772905880869510,gnc_lox_encoder,0.0,,atlas,gnc
1772905880869510,gnc_lox_is_on,1.0,,atlas,gnc
1772905880869543,gnc_state,1.0,STATE_IDLE,atlas,gnc
1772905880869543,gnc_data_queue_size,0.0,,atlas,gnc
1772905880869543,gnc_sequence_number,129194.0,,atlas,gnc
1772905880869543,gnc_controller_tick_ns,0.0,,atlas,gnc
1772905880869543,gnc_pt102,0.0,,atlas,gnc
1772905880869543,gnc_pt103,0.0,,atlas,gnc
1772905880869543,gnc_pt202,0.0,,atlas,gnc
1772905880869543,gnc_pt203,0.0,,atlas,gnc
1772905880869543,gnc_ptf401,0.0,,atlas,gnc
1772905880869543,gnc_pto401,0.0,,atlas,gnc
1772905880869543,gnc_ptc401,0.0,,atlas,gnc
1772905880869543,gnc_ptc402,0.0,,atlas,gnc
1772905880869543,gnc_tc102,0.0,,atlas,gnc
1772905880869543,gnc_tc102_5,0.0,,atlas,gnc
1772905880869543,gnc_adc_read_time_ns,0.0,,atlas,gnc
1772905880869543,gnc_fuel_target,0.0,,atlas,gnc
1772905880869543,gnc_fuel_driver,0.0,,atlas,gnc
1772905880869543,gnc_fuel_encoder,-0.035999998450279236,,atlas,gnc
1772905880869543,gnc_fuel_is_on,1.0,,atlas,gnc
1772905880869543,gnc_lox_target,0.0,,atlas,gnc
1772905880869543,gnc_lox_driver,0.0,,atlas,gnc
1772905880869543,gnc_lox_encoder,0.0,,atlas,gnc
1772905880869543,gnc_lox_is_on,1.0,,atlas,gnc
1772905880869553,gnc_state,1.0,STATE_IDLE,atlas,gnc
1772905880869553,gnc_data_queue_size,0.0,,atlas,gnc
1772905880869553,gnc_sequence_number,129195.0,,atlas,gnc
1772905880869553,gnc_controller_tick_ns,0.0,,atlas,gnc
1772905880869553,gnc_pt102,0.0,,atlas,gnc
1772905880869553,gnc_pt103,0.0,,atlas,gnc
1772905880869553,gnc_pt202,0.0,,atlas,gnc
1772905880869553,gnc_pt203,0.0,,atlas,gnc
1772905880869553,gnc_ptf401,0.0,,atlas,gnc
1772905880869553,gnc_pto401,0.0,,atlas,gnc
1772905880869553,gnc_ptc401,0.0,,atlas,gnc
1772905880869553,gnc_ptc402,0.0,,atlas,gnc
1772905880869553,gnc_tc102,0.0,,atlas,gnc
1772905880869553,gnc_tc102_5,0.0,,atlas,gnc
1772905880869553,gnc_adc_read_time_ns,0.0,,atlas,gnc
1772905880869553,gnc_fuel_target,0.0,,atlas,gnc
1772905880869553,gnc_fuel_driver,0.0,,atlas,gnc
1772905880869553,gnc_fuel_encoder,-0.035999998450279236,,atlas,gnc
1772905880869553,gnc_fuel_is_on,1.0,,atlas,gnc
1772905880869553,gnc_lox_target,0.0,,atlas,gnc
1772905880869553,gnc_lox_driver,0.0,,atlas,gnc
1772905880869553,gnc_lox_encoder,0.0,,atlas,gnc
