time,queue_size,motor_target,motor_pos,motor_velocity,motor_acceleration,motor_nsec_per_pulse,pt202,pt203,ptf401
0.00106255,0,0.37120500,0.01125000,12.00000095,12000.00000000,33793,69.58007812,656.98242187,1271.97265625
0.00209683,0,0.55118251,0.01125000,24.00000191,12000.00000000,489695,67.87109375,656.25000000,1267.57812500
0.00304118,0,0.73115999,0.02250000,36.00000381,12000.00097656,241432,66.40625000,656.25000000,1269.04296875
0.00405522,0,0.91113746,0.04500000,48.00000381,11999.99902344,182683,67.13867187,656.00585937,1266.60156250
0.00503860,0,1.09111500,0.07875000,60.00000381,11999.99902344,138557,53.95507812,649.90234375,1238.28125000
0.00604671,0,1.27109253,0.11250000,72.00000763,12000.00292969,131583,53.95507812,649.65820312,1238.76953125
0.00703782,0,1.45107007,0.14624999,84.00000763,11999.99902344,78885,67.87109375,656.25000000,1267.08984375
0.00804524,0,1.63104737,0.19125000,96.00000763,11999.99902344,97860,67.38281250,656.25000000,1270.01953125
0.00905062,0,1.81102490,0.24749999,108.00000763,11999.99902344,104057,53.71093750,649.65820312,1236.81640625
0.01005493,0,1.99100244,0.30374998,120.00000763,11999.99902344,78437,53.95507812,649.41406250,1237.30468750
0.01105041,0,2.17097998,0.35999998,132.00001526,12000.00683594,100233,54.19921875,649.90234375,1236.81640625
0.01204264,0,2.35095739,0.41624999,144.00001526,11999.99902344,89580,67.62695312,656.00585937,1266.60156250
0.01304454,0,2.53093505,0.49499997,156.00001526,11999.99902344,62943,53.71093750,649.90234375,1238.76953125
0.01408066,0,2.71091223,0.56250000,168.00001526,11999.99902344,99507,67.13867187,656.25000000,1268.55468750
0.01561786,0,2.89089012,0.73124999,180.00001526,11999.99902344,38227,53.46679687,649.41406250,1237.79296875
0.01611661,0,3.07086754,0.73124999,192.00001526,11999.99902344,501067,67.38281250,656.25000000,1269.53125000
0.01707055,0,3.25084472,0.80999994,204.00001526,11999.99902344,30680,67.13867187,656.25000000,1264.64843750
0.01805627,0,3.43082237,0.89999998,216.00001526,11999.99902344,27845,67.38281250,656.25000000,1269.04296875
0.01904324,0,3.61079979,0.98999995,225.00000000,8999.98437500,84952,67.38281250,656.25000000,1268.55468750
0.02004174,0,3.79077721,1.10249996,225.00000000,0.00000000,61563,53.95507812,649.41406250,1238.28125000
0.02106760,0,3.97075486,1.21499991,225.00000000,0.00000000,24010,53.71093750,649.41406250,1237.79296875
0.02207716,0,4.15073252,1.31624997,225.00000000,0.00000000,24920,67.87109375,656.25000000,1268.06640625
0.02307971,0,4.33070993,1.42874992,225.00000000,0.00000000,24910,53.95507812,649.65820312,1237.30468750
0.02406306,0,4.51068735,1.52999997,225.00000000,0.00000000,24950,53.95507812,649.65820312,1238.28125000
0.02505868,0,4.69066477,1.63124990,225.00000000,0.00000000,84512,53.95507812,649.41406250,1237.30468750
0.02606996,0,4.87064266,1.73249996,225.00000000,0.00000000,23412,65.67382812,656.00585937,1266.60156250
0.02707672,0,5.05062008,1.83374989,225.00000000,0.00000000,24698,53.46679687,649.65820312,1236.81640625
0.02805795,0,5.23059702,2.00249982,225.00000000,0.00000000,24840,59.81445312,652.58789062,1252.44140625
0.02968534,0,5.41057491,2.25000000,225.00000000,0.00000000,24867,67.38281250,656.25000000,1269.04296875
0.03012660,0,5.59055233,2.25000000,225.00000000,0.00000000,24867,66.65039062,655.76171875,1265.62500000
0.03106442,0,5.77053022,2.33999991,225.00000000,0.00000000,24968,67.38281250,656.25000000,1262.20703125
0.03203760,0,5.95050716,2.44124985,225.00000000,0.00000000,57992,67.38281250,656.25000000,1268.06640625
0.03303859,0,6.13048506,2.54249978,225.00000000,0.00000000,71152,68.11523437,656.25000000,1266.60156250
0.03403788,0,6.31046247,2.64374995,225.00000000,0.00000000,76053,67.62695312,656.25000000,1264.16015625
0.03503296,0,6.49043941,2.74499989,225.00000000,0.00000000,69767,67.38281250,656.25000000,1268.55468750
