time,queue_size,motor_target,motor_pos,motor_velocity,motor_acceleration,motor_nsec_per_pulse,pt202,pt203,ptf401
0.05102776,0,4.68000031,4.58999968,105.75035095,-11999.99902344,67167,52.73437500,646.24023437,1233.39843750
0.05203221,0,4.76999998,4.64624977,117.75035095,11999.99902344,86007,44.43359375,641.11328125,1223.14453125
0.05305916,0,4.86000013,4.70249987,129.75035095,11999.99902344,67618,52.49023437,646.24023437,1232.91015625
0.05405626,0,4.94999981,4.76999998,141.75035095,11999.99902344,77643,44.43359375,640.86914062,1223.14453125
0.05503853,0,5.03999996,4.83749962,153.75035095,11999.99902344,80300,44.43359375,641.11328125,1222.65625000
0.05606381,0,5.13000011,4.97249985,165.75035095,11999.99902344,35445,48.09570312,643.79882812,1228.51562500
0.05763024,0,5.21999979,5.18624973,153.75035095,-11999.99902344,46037,49.31640625,643.06640625,1227.05078125
0.05807993,0,5.30999994,5.19749975,141.75035095,-11999.99902344,36898,52.49023437,646.24023437,1232.91015625
0.05903002,0,5.40000010,5.26499987,135.00022888,-6750.12158203,83268,44.18945312,640.86914062,1222.16796875
0.06005655,0,5.49000025,5.33249998,147.00022888,11999.99902344,82795,44.43359375,641.11328125,1223.63281250
0.06105042,0,5.57999992,5.45624971,159.00022888,11999.99902344,36053,49.07226562,643.55468750,1227.53906250
0.06206710,0,5.67000008,5.60249996,147.00022888,-11999.99902344,46038,48.58398437,643.55468750,1228.51562500
0.06303105,0,5.76000023,5.68124962,135.00022888,-11999.99902344,72592,44.43359375,640.86914062,1223.14453125
0.06403627,0,5.84999990,5.73749971,123.00022888,-11999.99902344,95082,52.73437500,646.24023437,1232.91015625
0.06503253,0,5.94000006,5.80499983,135.00022888,11999.99902344,73338,44.43359375,640.86914062,1223.63281250
0.06603214,0,6.03000021,5.87249994,147.00022888,11999.99902344,83133,44.43359375,640.86914062,1223.14453125
0.06703649,0,6.12000036,5.93999958,159.00022888,11999.99902344,81668,52.49023437,646.24023437,1233.39843750
0.06805629,0,6.21000004,6.01874971,171.00022888,11999.99902344,88742,44.43359375,640.86914062,1223.14453125
0.06902766,0,6.30000019,6.09749985,183.00022888,11999.99902344,58148,44.43359375,641.11328125,1222.65625000
0.07006653,0,6.39000034,6.25499964,195.00022888,11999.99902344,27687,49.56054687,643.79882812,1226.56250000
0.07170174,0,6.47999954,6.52499962,183.00022888,-11999.99902344,30868,48.09570312,645.26367187,1228.51562500
0.07216457,0,6.56999969,6.53624964,171.00022888,-11999.99902344,32598,44.43359375,640.86914062,1223.63281250
0.07303450,0,6.65999985,6.59249973,159.00022888,-11999.99902344,61082,52.49023437,646.24023437,1233.39843750
0.07402793,0,6.75000048,6.67124987,147.00022888,-11999.99902344,54460,52.49023437,646.24023437,1232.91015625
0.07504876,0,6.83999968,6.79499960,135.00022888,-11999.99902344,42033,48.58398437,643.79882812,1229.00390625
0.07603005,0,6.92999983,6.87374973,123.00022888,-11999.99902344,94677,44.67773437,641.35742187,1224.12109375
0.07701300,0,7.01999998,6.92999983,111.00022888,-11999.99902344,50530,52.97851562,646.48437500,1233.88671875
0.07801525,0,7.11000013,6.98624992,123.00022888,11999.99902344,66578,52.49023437,646.48437500,1233.39843750
0.07902417,0,7.19999981,7.05374956,135.00022888,11999.99902344,60780,52.73437500,646.48437500,1233.88671875
0.08005691,0,7.28999996,7.12124968,147.00022888,11999.99902344,76953,52.73437500,646.48437500,1233.88671875
0.08102875,0,7.38000011,7.18874979,159.00022888,11999.99902344,72905,52.73437500,646.48437500,1233.39843750
0.08205627,0,7.46999979,7.26749992,171.00022888,11999.99902344,85903,52.73437500,646.72851562,1233.88671875
0.08305019,0,7.55999994,7.34624958,183.00022888,11999.99902344,32958,52.73437500,646.48437500,1233.88671875
0.08406945,0,7.65000010,7.42499971,195.00022888,11999.99902344,94483,52.73437500,646.72851562,1233.39843750
0.08562187,0,7.74000025,7.62749958,183.00022888,-11999.99902344,28878,44.67773437,641.35742187,1224.12109375
0.08606292,0,7.82999992,7.62749958,195.00022888,11999.99902344,28878,44.92187500,641.35742187,1224.12109375
0.08703729,0,7.92000008,7.70624971,207.00022888,11999.99902344,79300,52.73437500,647.21679687,1234.37500000
0.08805964,0,8.01000023,7.80749989,202.50033569,-4499.89306641,27872,44.92187500,641.60156250,1224.12109375
0.08903220,0,8.10000038,7.89749956,202.50080872,0.47302243,66563,44.92187500,641.60156250,1224.12109375
