time,queue_size,motor_target,motor_pos,motor_velocity,motor_acceleration,motor_nsec_per_pulse,pt202,pt203,ptf401
0.11103501,0,47.98250961,47.78999710,189.00000000,11999.99902344,70793,120.84960937,692.87109375,1356.44531250
0.11206926,0,48.09080124,47.95874786,201.00000000,11999.99902344,33747,129.39453125,696.53320312,1359.37500000
0.11365116,0,48.19909286,48.17249680,189.00000000,-11999.99902344,27973,134.76562500,699.21875000,1364.74609375
0.11407523,0,48.30738831,48.17249680,177.00000000,-11999.99902344,27973,135.00976562,699.21875000,1364.74609375
0.11507161,0,48.41567993,48.26249695,165.00000000,-11999.99902344,30243,120.84960937,692.62695312,1355.95703125
0.11605351,0,48.52397156,48.32999802,177.00000000,11999.99902344,34993,134.76562500,699.21875000,1364.74609375
0.11704156,0,48.63226318,48.40874863,189.00000000,11999.99902344,82272,134.52148437,699.21875000,1364.74609375
0.11802918,0,48.74055481,48.49874878,201.00000000,11999.99902344,65740,120.84960937,692.62695312,1356.44531250
0.11905784,0,48.84885025,48.59999847,213.00000000,11999.99902344,27812,121.09375000,692.13867187,1356.44531250
0.12003672,0,48.95714188,48.68999863,225.00000000,11999.99902344,64358,121.09375000,692.87109375,1356.44531250
0.12103418,0,49.06543350,48.79124832,225.00000000,0.00000000,86410,121.09375000,692.62695312,1356.44531250
0.12206201,0,49.17372513,48.90374756,225.00000000,0.00000000,24385,121.33789062,692.87109375,1355.95703125
0.12303165,0,49.28201675,49.00499725,225.00000000,0.00000000,62892,121.09375000,692.62695312,1356.44531250
0.12403678,0,49.39031219,49.10624695,225.00000000,0.00000000,70145,134.76562500,699.21875000,1365.23437500
0.12502719,0,49.49860382,49.20749664,225.00000000,0.00000000,76277,134.76562500,698.97460937,1364.25781250
0.12603821,0,49.60689545,49.39874649,225.00000000,0.00000000,27040,129.63867187,694.82421875,1361.32812500
0.12757483,0,49.71519089,49.71374893,213.00000000,-11999.99902344,50735,130.61523437,695.31250000,1359.86328125
0.12808312,0,49.82347870,49.72499847,201.00000000,-11999.99902344,42173,120.84960937,692.87109375,1355.46875000
0.12905341,0,49.93177414,49.80374908,189.00000000,-11999.99902344,27882,134.76562500,699.21875000,1365.23437500
0.13006537,0,50.04006577,49.90499878,177.00000000,-11999.99902344,29743,121.09375000,692.38281250,1355.95703125
0.13103743,0,50.14835739,49.98374939,165.00000000,-11999.99902344,80572,120.84960937,692.62695312,1355.95703125
0.13201830,0,50.25665283,50.05124664,177.00000000,11999.99902344,76110,134.76562500,699.46289062,1364.74609375
0.13302940,0,50.36494446,50.14124680,189.00000000,11999.99902344,63030,134.52148437,698.97460937,1365.23437500
0.13405395,0,50.47323608,50.24249649,201.00000000,11999.99902344,29242,121.09375000,692.62695312,1356.44531250
0.13503933,0,50.58152771,50.33249664,213.00000000,11999.99902344,89552,120.84960937,692.87109375,1356.44531250
0.13605832,0,50.68981934,50.43374634,225.00000000,11999.99902344,26405,121.09375000,692.62695312,1355.95703125
0.13702972,0,50.79811478,50.53499603,225.00000000,0.00000000,24937,134.76562500,699.21875000,1365.23437500
0.13805330,0,50.90640640,50.64749908,225.00000000,0.00000000,24843,134.76562500,699.21875000,1364.74609375
0.13906610,0,51.01469803,50.75999832,225.00000000,0.00000000,24977,134.76562500,698.97460937,1364.74609375
0.14006893,0,51.12299347,50.86124802,225.00000000,0.00000000,24987,135.00976562,699.21875000,1364.25781250
0.14159003,0,51.23128510,51.15374756,213.00000000,-11999.99902344,26887,130.37109375,695.80078125,1359.86328125
0.14219384,0,51.33957672,51.17624664,201.00000000,-11999.99902344,26873,121.09375000,692.62695312,1356.44531250
0.14311838,0,51.44786835,51.32249832,204.12062073,3120.62060547,27940,129.88281250,696.77734375,1359.86328125
0.14405102,0,51.55615997,51.42374802,192.12062073,-11999.99902344,26370,135.00976562,698.97460937,1365.72265625
0.14505322,0,51.66445541,51.51374817,180.12062073,-11999.99902344,29695,134.76562500,699.21875000,1365.23437500
0.14604932,0,51.77274704,51.60374832,168.99870300,-11121.91699219,31382,135.00976562,699.21875000,1365.23437500
0.14701559,0,51.88103867,51.68249893,180.99870300,11999.99902344,82427,120.84960937,692.87109375,1356.44531250
0.14803366,0,51.98933029,51.77249908,192.99870300,11999.99902344,69120,121.09375000,692.62695312,1355.95703125
0.14899950,0,52.09762573,51.86249924,204.99870300,11999.99902344,41432,121.09375000,692.38281250,1355.95703125
0.15004143,0,52.20591736,51.96374893,216.99870300,11999.99902344,63940,134.76562500,699.21875000,1364.74609375
0.15103571,0,52.31420898,52.06499863,225.00000000,8001.29638672,71300,134.76562500,699.21875000,1364.74609375
0.15203036,0,52.42250061,52.17749786,225.00000000,0.00000000,62435,121.09375000,692.38281250,1356.44531250
0.15305611,0,52.53079224,52.28999710,225.00000000,0.00000000,24933,121.09375000,692.87109375,1356.44531250
0.15404752,0,52.63908768,52.39124680,225.00000000,0.00000000,24978,135.00976562,699.21875000,1364.74609375
0.15550682,0,52.74737930,52.66124725,213.00000000,-11999.99902344,36400,132.32421875,695.55664062,1361.32812500
0.15606776,0,52.85567093,52.68374634,201.00000000,-11999.99902344,26767,134.76562500,699.21875000,1364.74609375
0.15706415,0,52.96396637,52.78499603,190.21986389,-10780.13574219,27422,121.33789062,692.38281250,1356.44531250
0.15803602,0,53.07225418,52.86374664,202.21986389,11999.99902344,66960,134.76562500,699.21875000,1365.23437500
0.15902272,0,53.18054962,52.96499634,214.21986389,11999.99902344,72482,121.09375000,692.87109375,1356.44531250
0.16004109,0,53.28884125,53.06624603,222.59519958,8375.33496094,81718,121.09375000,692.62695312,1356.44531250
0.16103232,0,53.39713287,53.16749954,225.00000000,2404.80029297,72193,121.33789062,692.87109375,1356.44531250
0.16205169,0,53.50542831,53.27999878,225.00000000,0.00000000,24363,121.09375000,692.87109375,1355.95703125
0.16305564,0,53.61371994,53.38124847,225.00000000,0.00000000,24888,121.33789062,692.87109375,1356.44531250
0.16405624,0,53.72201157,53.48249817,225.00000000,0.00000000,24905,121.09375000,692.62695312,1356.44531250
0.16507261,0,53.83030319,53.59499741,225.00000000,0.00000000,24967,134.76562500,699.21875000,1365.23437500
0.16602413,0,53.93859482,53.68499756,225.00000000,0.00000000,77205,134.76562500,699.21875000,1364.74609375
